"","TimeMedian","Timeq25","Timeq975","PoPChangeMedian","PopChangeq25","PopChange1975","TotalSpoiled","Per_Spoiled","Type"
"1",85,4,1480,0.180765052129478,0.00616738619363488,1.23642928645224,6,0.00132916860503755,"Overall"
"2",81,4,123,0.172108371637765,0.00616738619363477,0.263135162172279,0,0,"Not Shared"
"3",118,9,1489,0.252200617827678,0.0167269406920508,1.25587689815597,6,0.00584470615739794,"Shared"
