day,shift type,type,Season,media,rep,log shift
4,share table,Not Inoculated,Winter,sma,1,0
4,share table,Not Inoculated,Winter,sma,2,0
4,share table,Not Inoculated,Winter,sma,3,0
4,overnight,Not Inoculated,Winter,sma,1,0
4,overnight,Not Inoculated,Winter,sma,2,0
4,overnight,Not Inoculated,Winter,sma,3,0
5,share table,Not Inoculated,Winter,sma,1,0
5,share table,Not Inoculated,Winter,sma,2,0
5,share table,Not Inoculated,Winter,sma,3,0
1,share table,Inoculated,Winter,sma,1,0.15
1,share table,Inoculated,Winter,sma,2,0.11
1,share table,Inoculated,Winter,sma,3,0.13
1,overnight,Inoculated,Winter,sma,1,1.16
1,overnight,Inoculated,Winter,sma,2,1.32
1,overnight,Inoculated,Winter,sma,3,1.14
2,share table,Inoculated,Winter,sma,1,0.18
2,share table,Inoculated,Winter,sma,2,-0.064
2,share table,Inoculated,Winter,sma,3,0.3
2,overnight,Inoculated,Winter,sma,1,1.02
2,overnight,Inoculated,Winter,sma,2,1.25
2,overnight,Inoculated,Winter,sma,3,1.06
3,share table,Inoculated,Winter,sma,1,0.22
3,share table,Inoculated,Winter,sma,2,0.011
3,share table,Inoculated,Winter,sma,3,0.23
3,overnight,Inoculated,Winter,sma,1,1.17
3,overnight,Inoculated,Winter,sma,2,1.26
3,overnight,Inoculated,Winter,sma,3,1.11
4,share table,Inoculated,Winter,sma,1,0.28
4,share table,Inoculated,Winter,sma,2,0.3
4,share table,Inoculated,Winter,sma,3,0.23
4,overnight,Inoculated,Winter,sma,1,0.68
4,overnight,Inoculated,Winter,sma,2,0.66
4,overnight,Inoculated,Winter,sma,3,0.78
5,share table,Inoculated,Winter,sma,1,0
5,share table,Inoculated,Winter,sma,2,0.11
5,share table,Inoculated,Winter,sma,3,0.089
1,Refrigerated Control,Not Inoculated,Winter,sma,1,0
2,Refrigerated Control,Not Inoculated,Winter,sma,1,0
3,Refrigerated Control,Not Inoculated,Winter,sma,1,0
4,Refrigerated Control,Not Inoculated,Winter,sma,1,0
1,Refrigerated Control,Inoculated,Winter,sma,1,0.62
2,Refrigerated Control,Inoculated,Winter,sma,1,1.15
3,Refrigerated Control,Inoculated,Winter,sma,1,1.04
4,Refrigerated Control,Inoculated,Winter,sma,1,1.16
